source,page,index,xref,file,duplicate_of,heading,width,height,sha256
full188,1,1,198,full188-p001-img01-MALI-VE-HUKUK-DANISMANLIK-LIMITED-SIRKETI-INGILTER.jpeg,,MALİ VE HUKUK DANIŞMANLIK LİMİTED ŞİRKETİ – İNGİLTERE,105,105,2f039badf51e6dc5aad89f25dc4ead7c5e058adac9840e31f1180fc7333a96bf
full188,1,2,201,full188-p001-img02-MALI-VE-HUKUK-DANISMANLIK-LIMITED-SIRKETI-INGILTER.jpeg,,MALİ VE HUKUK DANIŞMANLIK LİMİTED ŞİRKETİ – İNGİLTERE,583,265,e96d670b3119a584a8d4b7e17f381243be40482a687b9e737cc52838feca314a
full188,2,1,216,full188-p002-img01-Calisanlarimizin-gelisimine-onem-veriyoruz.jpeg,,Çalışanlarımızın gelişimine önem veriyoruz,325,253,34bd350cfe88e15a6ed7b2121edfaa492c9e30786cff4308c4cc26c57e5efbcf
full188,3,1,223,full188-p003-img01-Degerlerimiz.jpeg,,Değerlerimiz,567,420,303046110110334297ef038bef1e2fe758e7860f56b14067500922285bc722e2
full188,4,1,230,full188-p004-img01-Sektorler.jpeg,,Sektörler,614,372,c5ebe501312b2a53f38885edbe8b960af11926b22f0aeeac0071160b7dd9973d
full188,5,1,233,full188-p005-img01-Sektorler.jpeg,,Sektörler,75,75,283099dfacf7649e80545316bcb68a86343cd11ff23679c15ebac1678b092991
full188,5,2,235,full188-p005-img02-Sektorler.jpeg,,Sektörler,75,75,471352f0449262146e38132d820311415d1d1365e046bdde0b5ebbc7b42af47a
full188,5,3,237,full188-p005-img03-Sektorler.jpeg,,Sektörler,75,75,a737a46e63d49d159af9cee47a0d40c5d9fbcd1ec2537fe108ac4883109ffbfa
full188,5,4,239,full188-p005-img04-Sektorler.jpeg,,Sektörler,75,75,6ecc0efb54d557dad0ab07d8895916e7271626a8992bf815882d7565739944a8
full188,5,5,241,full188-p005-img05-Sektorler.jpeg,,Sektörler,75,75,9900eaaff9ca898b12067581ad52bb375897283bcc4d73982a8b6d6ad99b046a
full188,5,6,243,full188-p005-img06-Sektorler.jpeg,,Sektörler,75,75,0c320a01e56b51b2b22bd7600dc45f1dea276b41f471257d2ed2e76bc0ee8d53
full188,5,7,245,full188-p005-img07-Sektorler.jpeg,,Sektörler,75,75,b44cf720c1f0dc80a7becbb2f21e9bdc2fec679615272ce13e7c286c4efbfc6b
full188,5,8,247,full188-p005-img08-Sektorler.jpeg,,Sektörler,75,75,09535261383383985d26c4b4fb328622f6c5caa20da6e94ec0b3bf4b81b7e77e
full188,6,1,250,full188-p006-img01-Hizmetler.jpeg,,Hizmetler,582,432,6d0d0f4ca8658e487ef54c6f614656efe58dc8ee06bbdd1c85e3bac599234b20
full188,7,1,253,full188-p007-img01-Vergi-Incelemeleri.jpeg,,Vergi İncelemeleri,489,367,1c9a3daf7409b5e2067702df0c730db940a03a8b3d0f2cf0cdf37f7a71f9b06b
full188,8,1,256,full188-p008-img01-Vergi-incelemeleri-konusunda-size-nasil-yardimci-o.jpeg,,Vergi incelemeleri konusunda size nasıl yardımcı olabiliriz?,797,354,a61e00f6b596255a681e2b58538f98a2ff3df19020f1b7ea3b11c250a9da9318
full188,9,1,259,full188-p009-img01-Bagimsiz-ve-Ozel-Amacli-Denetim.jpeg,,Bağımsız ve Özel Amaçlı Denetim,617,337,0709bc28284a2c9072e1007c6798b258d2c0218f3f6da0d53f22362bce454f55
full188,10,1,262,full188-p010-img01-Suiistimal-Onleme-ve-Inceleme.jpeg,,Suiistimal Önleme ve İnceleme,504,326,abcb29910226f79e70c740d2395e062943375941c3b906c3716ee3f5add795a0
full188,11,1,265,full188-p011-img01-SUIISTIMAL-RISK-YONETIMI.jpeg,,SUİİSTİMAL RİSK YÖNETİMİ,619,382,cdb2837aab63abac48849e1a1ace70583110074a6d5b6646d638454ce8404dee
full188,12,1,268,full188-p012-img01-KARA-PARA-AKLAMANIN-ONLENMESI.jpeg,,KARA PARA AKLAMANIN ÖNLENMESİ,793,467,cf50d93e96e5254956e953dfa6de700fc60d2ee62ef9bc465cb8bd4e3d768bbd
full188,13,1,275,full188-p013-img01-SUIISTIMAL-INCELEMELERI.jpeg,,SUİİSTİMAL İNCELEMELERİ,609,510,e25d0e251002af4dacf4bd7ec92c929126a0ae98038b6c9c1953bb7dae3b2c4d
full188,14,1,278,full188-p014-img01-KURUMSAL-ARASTIRMALAR.jpeg,,KURUMSAL ARAŞTIRMALAR,579,406,e965806c017f63138c81a629a705c61bf894258d5fa654fd63deec504952d76b
full188,15,1,281,full188-p015-img01-UYUSMAZLIK-DANISMANLIGI.jpeg,,UYUŞMAZLIK DANIŞMANLIĞI,415,334,dada82892591af8da18640c96e33a89cc3d31adfe7e94f13a618631bf382a6fa
full188,16,1,284,full188-p016-img01-SUIISTIMAL-ONLEMEDE-BILISIM.jpeg,,SUİİSTİMAL ÖNLEMEDE BİLİŞİM,939,423,a20c0f73ccbee8c2274db0d02b072386aa0199daab5bca0518b1b74ad716be28
full188,17,1,287,full188-p017-img01-FIKIR-HAKLARI-ve-SOZLESME-UYGUNLUGU.jpeg,,FİKİR HAKLARI ve SÖZLEŞME UYGUNLUĞU,378,615,dc681a8ff949880c76c7b62e1721fc4be73a33833dfbac70507f368fae765946
full188,18,1,290,full188-p018-img01-Ic-Denetim-Risk-ve-Mevzuat-Uyum.jpeg,,"İç Denetim, Risk ve Mevzuat Uyum",368,150,c1031816a2dddcf71f2a49fd71b5d7521d99d0dee62f15e4d5e236a9d7a9f6c0
full188,19,1,293,full188-p019-img01-Ic-Denetime-Disaridan-Destek-Saglanmasi.jpeg,,İç Denetime Dışarıdan Destek Sağlanması,641,388,37c1f02d68e5dff85523187ce0b76926b25c4e842217f0dfdca7bc1f25e47653
full188,20,1,296,full188-p020-img01-Ic-Denetim-Hizmetinin-Disaridan.jpeg,,İç Denetim Hizmetinin Dışarıdan,384,202,4d94fd4c9a935ab57aa292344ada14ddbc948766dc05901b54443e099fb2974e
full188,21,1,299,full188-p021-img01-Sarbanes-Oxley-Madde-404.jpeg,,Sarbanes-Oxley Madde 404,724,572,bdde95bb04503a514fba5822afc7e61bf8b6ede7163994e3512d2c8d1f027ebe
full188,22,1,304,full188-p022-img01-Duzgun-bir-gecis.jpeg,,Düzgün bir geçiş,489,186,4c3a3f3cbacb68ef8dd1e64ddd0b68ce1c98883e847ff88ca84e08f52fd16de7
full188,23,1,307,full188-p023-img01-Uyum-Yolculugu.jpeg,,Uyum Yolculuğu,450,561,6a3cb2cd9d2fee98ee3ddf00cd92604d8a96da512bd13889d5b58036f9b6cd50
full188,24,1,310,full188-p024-img01-ORNEK-OLAY-INCELEMESI.jpeg,,ÖRNEK OLAY İNCELEMESİ,184,269,c793901a7a80e1a019979ef064e65769c69934754e71b7ff62dd66feba595041
full188,25,1,313,full188-p025-img01-Denetim-Hizmetleri.jpeg,,Denetim Hizmetleri,289,127,182f7b24e11a01d6a4e29eee6567486514cc4d7b670101c66c0ab00ea3c0e4b1
full188,26,1,316,full188-p026-img01-Yatirim-Danismanligi-Hizmetleri.jpeg,,Yatırım Danışmanlığı Hizmetleri,398,347,c6bbc3954003c184647eaaaf06ec13b3e026c7536e14881c7f42b8ccb0e61bda
full188,27,1,319,full188-p027-img01-Yatirim-Danismanligi.jpeg,,Yatırım Danışmanlığı,480,536,a757e7f2b2afb11c46925940c40de2b27ef915e7168c604f299bf094af6c9290
full188,28,1,322,full188-p028-img01-Alici-Taraf-Yatirim-Hizmetleri.jpeg,,Alıcı Taraf Yatırım Hizmetleri,420,275,3152220d6c0b755d53d9ba6cc6e582bb35bc848b02dbb75d2a71e3bf88a9d9ea
full188,29,1,325,full188-p029-img01-Satici-Taraf-Yatirim-Hizmetleri.jpeg,,Satıcı Taraf Yatırım Hizmetleri,258,203,5884886f1e0e61180a7b4736dbbb626911a4ff1b2a6faaee0b6c56db51c0ed0e
full188,30,1,331,full188-p030-img01-Muhasebe-Danismanlik.jpeg,,Muhasebe Danışmanlık,388,306,a931bf2eb03b932003a7786704b508ccd3e2b235af753f4df153f95a7152d231
full188,31,1,334,full188-p031-img01-Finans-fonksiyonunun-gelistirilmesi.jpeg,,Finans fonksiyonunun geliştirilmesi,460,373,9fc487f820252e0a6a0dfe5c4979bc9ba8ec3f649b9de152d1f52c5047bc0d56
full188,32,1,337,full188-p032-img01-Tetikleyici-Hususlar.jpeg,,Tetikleyici Hususlar,400,300,b39d6c0ac07936d9eacc2aff8b62c6b55fa056ef0f4033c2f37b3ce2850d0cae
full188,33,1,340,full188-p033-img01-Hizmet-Alanlarimiz.jpeg,,Hizmet Alanlarımız:,483,395,f09ca795491357bed85669cfc011dc66d67497f2d3247659ad40e68609af17b0
full188,34,1,343,full188-p034-img01-Butceleme-ve-uzun-vadeli-planlama.jpeg,,Bütçeleme ve uzun vadeli planlama,409,125,4124e0e7e6bb8cf012c9aa5b442774b8f5fb26128046df2d825f33456dac80eb
full188,35,1,346,full188-p035-img01-Global-Donusturme-Hizmetleri-Yetkinliklerimiz.jpeg,,Global Dönüştürme Hizmetleri-Yetkinliklerimiz,605,322,d7e8774e2435ec5423365a44d4bff10f8dab18bfd4851e7420e83b05d98624d7
full188,36,1,349,full188-p036-img01-Global-Donusturme-Hizmetleri-Yaklasimimiz.jpeg,,Global Dönüştürme Hizmetleri-Yaklaşımımız,593,279,06a4549089279b69ea5536c41f118c2fdf8fba69e1080c500386e68aad013871
full188,37,1,352,full188-p037-img01-Kuresel-Donusturme-Hizmetlerinden.jpeg,,Küresel Dönüştürme Hizmetlerinden,941,486,9d1f4982382bceff306c60e696d0a3ec0224f7832bb0988ae5be834f5c5ffe7f
full188,38,1,355,full188-p038-img01-Yeniden-Yapilandirma.jpeg,,Yeniden Yapılandırma,440,323,ba5a56fd4e8b00f9993b804e8ecbf932eed60a002f6ff2bec7f3d86da2263ae2
full188,39,1,358,full188-p039-img01-K-rlilik-Artiriminin-Planlanmasi-ve-Uygulanmasi.jpeg,,Kârlılık Artırımının Planlanması ve Uygulanması,930,311,2d7397a87a8daccef83d88a179a701281cf08b525a1c3f914a747f7a7c576df7
full188,40,1,361,full188-p040-img01-Kurumsal-Finansal-Yeniden-Yapilandirma.jpeg,,Kurumsal Finansal Yeniden Yapılandırma,395,260,fc65a211b02b1c1f93a55a34679110e3b25c8623e5e48ea33ea117b2093e2f1e
full188,41,1,364,full188-p041-img01-Operasyon-el-Yeniden-Yapilandirma.jpeg,,Operasyon el Yeniden Yapılandırma,450,338,984d80b6b4de8067e0ad3cf2138f110290acd25d03d0a01ea485d0df31e8f6d5
full188,42,1,368,full188-p042-img01-Borc-veren-kuruluslara-danismanlik.jpeg,,Borç veren kuruluşlara danışmanlık,416,304,ded250a782ad7d9b919c0cdd9fcc3fa79d827d39c1a7c9d532f6aef8aa7d4051
full188,43,1,371,full188-p043-img01-Isletme-Performans-Hizmetleri.jpeg,,İşletme Performans Hizmetleri,498,375,89b8c90afe6ac018afd9588ad722db395dc1610f0b6a6e301e931372f5744041
full188,44,1,374,full188-p044-img01-Finans-fonksiyonu-etkinligi.jpeg,,Finans fonksiyonu etkinliği,534,392,2cd94a79e62e8ccef28ab83bb5e3d4e18239eb810bfcf7e1d3034250b55d86fa
full188,45,1,377,full188-p045-img01-size-yardimci-olabilirler.jpeg,,size yardımcı olabilirler:,250,170,64059ff8c682a4088ffb067a0a638c9dd0df8fbacde48f1116206f12e1bd9e3e
full188,46,1,380,full188-p046-img01-Bilgi-Teknolojileri-Etkinligi.jpeg,,Bilgi Teknolojileri Etkinliği,398,268,1de523b902af2cffd26b4d46317a365cd81f69ac86b183c54cca3a2b723eb1e6
full188,47,1,383,full188-p047-img01-Kurumsal-Danismanlik-Hizmetleri.jpeg,,Kurumsal Danışmanlık Hizmetleri,565,369,73d1c4675ad3faae1070ef823a348aea557e427a4e842b0e59dcc461874ccfe1
full188,48,1,386,full188-p048-img01-Finans-ve-Performans-Yonetimi.jpeg,,Finans ve Performans Yönetimi,459,322,ca4f3d5983a22c3bbee5eb566d1a3b440b90154fad74fd929d846f60c4b42f6b
full188,49,1,389,full188-p049-img01-Sirkete-Saglanan-Faydalar.jpeg,,Şirkete Sağlanan Faydalar,561,391,e2533b746211458ecb9bdec36bd1d6eed459be91c969a17f0f522cff8bd3cd32
full188,50,1,392,full188-p050-img01-Tedarik-Zinciri-Yonetimi.jpeg,,Tedarik Zinciri Yönetimi,468,340,d6f01b523707083e2c3db576b79f821b6709d61294bf8cc3bb59f00483b105dc
full188,51,1,395,full188-p051-img01-Tedarik-Zinciri-Optimizasyonu.jpeg,,Tedarik Zinciri Optimizasyonu,485,304,81756e89d297ab7af841de24fff4f60575d12c563029e5c7803b53e9071c26be
